,busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
8623,247,18,1521,1.0,10.0,32.0
8624,9639,153,2406,1.0,20.0,32.0
8625,9639,153,2406,1.0,23.5,0.0
8626,265,47,837,1.0,20.0,0.0
8627,265,47,837,1.0,23.0,0.0
8628,265,47,837,1.0,7.0,32.0
8629,6584,2,906,0.0,2.5,126.0
8630,4024,263,2828,1.0,3.5,32.0
8631,4024,263,2828,1.0,6.0,0.0
8632,4024,263,2828,1.0,8.0,0.0
8633,4024,263,2828,1.0,10.5,0.0
8634,2753,196,1987,1.0,6.5,285.0
8635,435,45,1450,1.0,16.0,31.0
8636,3638,245,2705,0.0,18.5,61.0
8637,3638,245,2705,0.0,20.0,0.0
8638,3638,245,2705,0.0,21.5,32.0
8639,3638,245,2705,0.0,23.0,95.0
8640,4440,185,529,1.0,17.0,33.0
8641,4440,185,529,1.0,7.5,32.0
8642,3344,228,1823,0.0,3.5,96.0
8643,6845,161,2422,0.0,0.5,63.0
8644,3429,234,2092,0.0,11.5,63.0
8645,7054,170,468,1.0,13.5,0.0
8646,7054,170,468,1.0,18.0,63.0
8647,7054,170,468,1.0,20.0,32.0
8648,7054,170,468,1.0,22.5,31.0
8649,7054,170,468,1.0,0.5,31.0
8650,3221,299,2408,1.0,18.5,92.0
8651,5749,85,39,0.0,23.0,190.0
8652,7015,175,418,0.0,6.5,0.0
8653,7015,175,418,0.0,9.0,31.0
8654,4903,144,2131,1.0,6.5,32.0
8655,2179,203,586,1.0,1.5,125.0
8656,4639,279,2655,0.0,12.5,31.0
8657,4639,279,2655,0.0,3.0,63.0
8658,3646,273,3134,0.0,21.0,31.0
8659,3646,273,3134,0.0,22.5,95.0
8660,3646,273,3134,0.0,1.5,189.0
8661,3646,273,3134,0.0,4.0,62.0
8662,5731,71,178,0.0,5.0,32.0
8663,3520,258,3079,0.0,3.0,63.0
8664,8932,4,1375,0.0,17.5,0.0
8665,8932,4,1375,0.0,19.5,0.0
8666,3297,295,2578,1.0,18.0,31.0
8667,3987,32,1212,0.0,11.5,0.0
8668,3987,32,1212,0.0,12.5,62.0
8669,3987,32,1212,0.0,9.0,30.0
8670,3987,32,1212,0.0,10.5,32.0
8671,6713,92,1967,0.0,20.0,32.0
8672,6713,92,1967,0.0,22.0,63.0
8673,6713,92,1967,0.0,0.5,31.0
8674,6713,92,1967,0.0,2.5,31.0
8675,6713,92,1967,0.0,4.5,32.0
8676,6713,92,1967,0.0,7.0,32.0
8677,2792,196,1711,0.0,4.0,158.0
8678,4108,44,813,0.0,16.0,0.0
8679,4108,44,813,0.0,18.0,0.0
8680,4108,44,813,0.0,20.0,0.0
8681,3967,31,1475,0.0,14.0,32.0
8682,4848,2,1348,1.0,21.5,32.0
8683,4848,2,1348,1.0,23.0,0.0
8684,263,16,1015,0.0,18.0,220.0
8685,263,16,1015,0.0,3.5,126.0
8686,263,16,1015,0.0,6.0,0.0
8687,9687,24,1131,1.0,17.5,63.0
8688,9687,24,1131,1.0,20.5,0.0
8689,9687,24,1131,1.0,8.5,157.0
8690,4179,135,2623,1.0,6.5,0.0
8691,4179,135,2623,1.0,8.0,0.0
8692,4534,33,1321,1.0,15.5,0.0
8693,4534,33,1321,1.0,18.0,0.0
8694,4869,34,785,0.0,15.0,64.0
8695,4869,34,785,0.0,5.5,0.0
8696,4869,34,785,0.0,7.0,0.0
8697,636,281,2967,1.0,21.0,63.0
8698,636,281,2967,1.0,0.5,31.0
8699,636,281,2967,1.0,3.0,32.0
8700,636,281,2967,1.0,6.0,61.0
8701,3731,271,3143,0.0,23.0,64.0
8702,2725,197,449,1.0,22.5,32.0
8703,584,226,1389,0.0,18.5,0.0
8704,584,226,1389,0.0,2.5,123.0
8705,584,226,1389,0.0,5.5,92.0
8706,6616,11,1060,0.0,23.5,95.0
8707,6616,11,1060,0.0,4.5,0.0
8708,5851,113,1793,1.0,19.0,65.0
8709,5851,113,1793,1.0,20.0,249.0
8710,5851,113,1793,1.0,21.5,96.0
8711,5851,113,1793,1.0,23.0,127.0
8712,5851,113,1793,1.0,0.0,125.0
8713,5851,113,1793,1.0,1.5,62.0
8714,5851,113,1793,1.0,3.0,563.0
8715,5851,113,1793,1.0,4.0,253.0
8716,5851,113,1793,1.0,5.5,219.0
8717,5851,113,1793,1.0,7.0,249.0
8718,5851,113,1793,1.0,8.0,31.0
8719,5851,113,1793,1.0,9.0,63.0
8720,5099,34,797,1.0,6.0,128.0
8721,5099,34,797,1.0,8.5,31.0
8722,7033,174,424,1.0,7.5,32.0
8723,4070,67,146,0.0,2.0,62.0
8724,4070,67,146,0.0,4.0,95.0
8725,4070,67,146,0.0,6.0,0.0
8726,4070,67,146,0.0,7.0,32.0
8727,7621,58,1935,0.0,19.5,32.0
8728,7621,58,1935,0.0,22.5,0.0
8729,7621,58,1935,0.0,1.5,31.0
8730,7621,58,1935,0.0,4.5,31.0
8731,7621,58,1935,0.0,7.5,65.0
8732,7621,58,1935,0.0,10.0,62.0
8733,4073,69,271,0.0,11.0,31.0
8734,9649,34,773,1.0,2.5,31.0
8735,9649,34,773,1.0,5.5,94.0
8736,5149,35,1245,1.0,17.0,0.0
8737,5149,35,1245,1.0,20.0,31.0
8738,5769,80,44,1.0,16.0,0.0
